suburb,sale_date,price,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,building_size_m2,sale_method,listing_url,description
Chatswood,2026-08-29,3290000,House,3,2,2,505,,,https://www.realestate.com.au/property/14-jacques-street-chatswood-nsw-2067,"14 Jacques Street — 3-bed, 2-bath, house, 2 car spaces, 505 m² reported area."
Chatswood,2026-08-21,6200000,House,5,3,3,746.1,,,https://www.realestate.com.au/property/11-crick-street-chatswood-nsw-2067,"11 Crick Street — 5-bed, 3-bath, house, 3 car spaces, 746.1 m² reported area."
Chatswood,2026-07-16,1460000,Townhouse,3,2,1,,,,https://www.realestate.com.au/property/1-4-sutherland-road-chatswood-nsw-2067,"1/4 Sutherland Road — 3-bed, 2-bath, townhouse, 1 car space."
Chatswood,2026-06-23,2320000,House,4,2,2,,,,https://www.realestate.com.au/property/8-karana-place-chatswood-nsw-2067,"8 Karana Place — 4-bed, 2-bath, house, 2 car spaces."
Chatswood,2026-06-22,3950000,House,3,1,2,,,,https://www.realestate.com.au/property/8-claude-street-chatswood-nsw-2067,"8 Claude Street — 3-bed, 1-bath, house, 2 car spaces."
Chatswood,2026-05-26,2150000,Duplex/semi-detached,4,2,1,157,,,https://www.realestate.com.au/property/202a-fullers-road-chatswood-nsw-2067,"202A Fullers Road — 4-bed, 2-bath, duplex/semi-detached, 1 car space, 157 m² reported area."
Chatswood,2026-05-05,4180000,House,5,3,1,,,,https://www.realestate.com.au/property/31-royal-street-chatswood-nsw-2067,"31 Royal Street — 5-bed, 3-bath, house, 1 car space."
Chatswood,2026-04-09,3300000,House,4,3,1,,,,https://www.realestate.com.au/property/8-lone-pine-avenue-chatswood-nsw-2067,"8 Lone Pine Avenue — 4-bed, 3-bath, house, 1 car space."
Chatswood,2026-03-23,4168000,House,5,3,2,665,,,https://www.realestate.com.au/property/10-ivy-street-chatswood-nsw-2067,"10 Ivy Street — 5-bed, 3-bath, house, 2 car spaces, 665 m² reported area."
Chatswood,2026-03-21,3180000,House,3,2,2,778,,,https://www.realestate.com.au/property/10-mclean-avenue-chatswood-nsw-2067,"10 Mclean Avenue — 3-bed, 2-bath, house, 2 car spaces, 778 m² reported area."
Chatswood,2026-03-06,2530000,House,3,2,2,443,,,https://www.realestate.com.au/property/112-greville-street-chatswood-nsw-2067,"112 Greville Street — 3-bed, 2-bath, house, 2 car spaces, 443 m² reported area."
Chatswood,2026-03-01,4288000,House,5,3,2,575.4,,,https://www.realestate.com.au/property/10-beresford-avenue-chatswood-nsw-2067,"10 Beresford Avenue — 5-bed, 3-bath, house, 2 car spaces, 575.4 m² reported area."
Chatswood,2026-02-28,3290000,House,3,2,2,875,,,https://www.realestate.com.au/property/43-beaconsfield-road-chatswood-nsw-2067,"43 Beaconsfield Road — 3-bed, 2-bath, house, 2 car spaces, 875 m² reported area."
